text;Annotator 2’s Label;Annotator 1’s Lable;Agreement
And remember kids the next time that somebody tells you “the government wouldn’t do that” OH YES THEY WOULD.;PERSUASIVE;INVOLVEMENT;NO
and the spanish monarchy of the SPANISH INQUISITION no less. even awful ppl thought columbus was detestable;PRIOR;PRIOR;
This is filled with so much misinformation;PRIOR;PRIOR;
Are you a teacher? Educater? I am hooked learning from you;INVOLVEMENT;PLATFORM;NO
Love her outfit, I’d totally wear that;INVOLVEMENT;INVOLVEMENT;
My brada, always on point;INVOLVEMENT;SOURCE;NO
I still sleep in two shifts. first I fall asleep on the couch, after 2-4 hours I wake up, fill my dogs water bowl, brash my teeth and then sleep on bed too for another 3-5 hours;INVOLVEMENT;INVOLVEMENT;
I am just curious to know if that is how the Royal Family got most of it's wealth!;INVOLVEMENT;INVOLVEMENT;
Thank you for always continuing to educate us.;INVOLVEMENT;INVOLVEMENT;
Gracias algoritmo;MACHINE;MACHINE;
This breaks my heart.;INVOLVEMENT;INVOLVEMENT;
america is NOT good at software;PRIOR;INVOLVEMENT;NO
original it was 2 doors... hence the join down the middle;PRIOR;PRIOR;
The people who need to hear this are already too far gone;PERSUASIVE;INVOLVEMENT;NO
Thank you so much for genuine education— it really means a lot. And adding onto the positivity, where did you get your top? Did you maybe make it? The different fabrics are so cute;INVOLVEMENT;INVOLVEMENT;
The world is a little too quiet...;INVOLVEMENT;INVOLVEMENT;
So interesting !!;INVOLVEMENT;INVOLVEMENT;
Hello distant cousin.;INVOLVEMENT;INVOLVEMENT;
I work in the military historical field, THEY KNEW. I have handled physical newspaper clippings from six months after the war began, & Kristallnacht was front page news… THEY 100% knew;PRIOR;PRIOR;
The US did this to the Black Power movement too.;INVOLVEMENT;PRIOR;NO
Never forget.;INVOLVEMENT;INVOLVEMENT;
monet was so devoted to his wife he included her in 100s of paintings. he even painted her in her death bed. it is a beautiful picture that he put as much love and beauty into that last painting of her as he did this one.;PRIOR;PRIOR;
I hope your videos get more traction because this is turning into the Satanic Panic 2.0;PERSUASIVE;PRIOR;NO
and i think that so many ppl believe the holocaust just started with the camps and that's where they start thinking it's not possible. but it started way before that. these ppl were literally shoved into ghettos and starved. they were dying way before they started sending ppl to camps. before camps they were still taking babies and throwing them up to shot them in the air like targets for practice.;PRIOR;PRIOR;
Michael told Paul, Paul didn’t believe him. Paul didn’t have the money, Michael asked again, Michael bought the publishing. That wasn’t betrayal;PRIOR;PRIOR;
what about human dog coevolution?;INVOLVEMENT;PRIOR;NO
Kirk reference;INVOLVEMENT;INVOLVEMENT;
Sadly, the tide has turned. The shoe has changed foot and history is being repeated.;INVOLVEMENT;PRIOR;NO
Becoming part of nato was the worst thing this country ever did;INVOLVEMENT;PRIOR;NO
Unfortunately it started last term. Then they had 4 years to prep Project 25. Now it’s go time.;PERSUASIVE;INVOLVEMENT;NO
"When even the Spanish Monarchy was like ""nah bro""";PRIOR;INVOLVEMENT;NO
That's where I left that. Sorry my bad;INVOLVEMENT;INVOLVEMENT;
This is what israel is doing now;PRIOR;PRIOR;
the guy who called in sick;INVOLVEMENT;INVOLVEMENT;
Guys, no president has ever been great! Some were just worse than others.;INVOLVEMENT;PRIOR;NO
Perfect use of AI;INVOLVEMENT;REALISM;NO
Growing up is realizing we were never the good guys;INVOLVEMENT;INVOLVEMENT;
I love the UK! I long to move back there. Trying to crowd fund for my citizenship & the move. (Any help to achieve my goal would be most welcome);INVOLVEMENT;INVOLVEMENT;
Are we just ignoring how she says binoculars;INVOLVEMENT;SOURCE;NO
Love you sharing history the world is built on scary foundations!;INVOLVEMENT;INVOLVEMENT;
If all the records were destroyed, then how do we know;PRIOR;INVOLVEMENT;NO
We have been saying this FOREVER.;PRIOR;PRIOR;
“ESPECIALLY ALICE PERRERS” i’m sorry that’s just ICONIC at that point;INVOLVEMENT;PRIOR;NO
I'm a slovak/hungarian roma person.;INVOLVEMENT;INVOLVEMENT;
hey! I think u may be interested in Arabic history. honestly it is VERY interesting -and very different from the European history-.;INVOLVEMENT;INVOLVEMENT;
Anne Frank's birthday is the same as mine;INVOLVEMENT;INVOLVEMENT;
I'm so glad that they realized full automation would've been a disaster.;INVOLVEMENT;INVOLVEMENT;
mind you all over our beautiful SKIN. skin.;INVOLVEMENT;INVOLVEMENT;
Never wanted to slide into a DM until now;INVOLVEMENT;SOURCE;NO
And then Israel wants to go and make mass graves for Palestinians and steal their organs it’s sad that they will do the same thing to Palestinians that happened to their ancestors;PRIOR ;PRIOR ;
